Date,Unnamed: 0_sum,sentiment_sum
2018-01-28,36546,1.4666666666666668
2018-01-29,9134,0.9
2018-01-31,9133,0.0
2018-02-01,27393,-0.275
2018-02-02,54759,0.25
2018-02-03,36486,-0.78
2018-02-04,36470,-2.5666666666666664
2018-02-05,63784,1.0833333333333333
2018-02-06,45530,-0.7200000000000002
2018-02-07,63700,3.7266666666666666
2018-02-08,45470,3.6833333333333336
2018-02-09,36358,0.275
2018-02-10,81747,-1.65
2018-02-11,36306,-1.0866666666666667
2018-02-12,27219,-0.6500000000000001
2018-02-13,18141,1.5
2018-02-14,36270,-1.4966666666666666
2018-02-15,63434,-3.429761904761905
2018-02-16,27171,-0.75
2018-02-17,72412,-3.3499999999999996
2018-02-18,108498,0.36309523809523814
2018-02-19,27102,1.36
2018-02-20,117338,0.12333333333333374
2018-02-21,72124,-0.52
2018-02-22,90065,0.6797619047619047
2018-02-23,89965,5.858333333333333
2018-02-24,89865,1.3166666666666667
2018-02-25,53871,-0.7999999999999999
2018-02-27,71772,1.5583333333333336
2018-02-28,89625,1.6607142857142858
2018-03-01,53727,1.413333333333333
2018-03-02,116285,-0.3122222222222223
2018-03-03,35746,-1.1266666666666665
2018-03-04,8934,0.7666666666666666
2018-03-05,53583,-0.25833333333333325
2018-03-06,71388,1.5766666666666662
2018-03-07,53499,0.5166666666666667
2018-03-08,44555,1.6
2018-03-09,44530,3.4833333333333334
2018-03-10,97878,1.646666666666667
2018-03-11,53337,-1.4300000000000002
2018-03-12,53301,-1.2428571428571429
2018-03-13,71012,-0.19333333333333347
2018-03-14,88675,2.666428571428572
2018-03-15,53157,2.425
2018-03-16,35418,2.35
2018-03-17,35402,-1.2083333333333335
2018-03-18,35386,-2.642857142857143
2018-03-19,26529,0.5166666666666667
2018-03-20,17681,1.5
2018-03-21,61852,-1.7133333333333334
2018-03-22,70628,-0.125
2018-03-23,52929,-3.9366666666666665
2018-03-24,8818,-0.72
2018-03-25,61698,0.0
2018-03-26,35234,3.075
2018-03-27,26415,0.24285714285714288
2018-03-28,79191,3.5250000000000004
2018-03-29,35170,1.2833333333333334
2018-03-30,8790,0.0
2018-03-31,26364,-2.166666666666667
2018-04-01,35138,0.5166666666666666
2018-04-02,79002,-2.0166666666666666
2018-04-03,113971,-2.7333333333333334
2018-04-04,52545,-0.7857142857142858
2018-04-05,35010,0.12142857142857155
2018-04-06,61229,-0.14833333333333332
2018-04-07,52443,-1.1416666666666666
2018-04-08,69868,-3.6238095238095243
2018-04-09,43635,1.7514285714285718
2018-04-10,52329,1.81
2018-04-11,95843,-1.0333333333333332
2018-04-12,87025,0.6357142857142857
2018-04-13,52167,-0.29000000000000004
2018-04-14,34758,1.3333333333333335
2018-04-15,78147,-1.0575
2018-04-16,17355,-0.06666666666666665
2018-04-17,207948,-1.9549999999999996
2018-04-18,146948,1.9983333333333333
2018-04-19,120799,4.252777777777778
2018-04-20,77553,0.3566666666666668
2018-04-21,154863,-2.6488095238095233
2018-04-22,68724,4.341666666666666
2018-04-23,34338,-0.92
2018-04-24,85775,5.398809523809524
2018-04-25,59983,3.8000000000000007
2018-04-26,25692,1.8
2018-04-27,94127,1.3799999999999992
2018-04-28,76923,-0.16785714285714304
2018-04-29,25623,1.08
2018-04-30,85345,1.7916666666666663
2018-05-01,59682,2.7083333333333335
2018-05-02,59633,-2.8166666666666664
2018-05-03,76599,1.1600000000000001
2018-05-04,85015,-1.0300000000000002
2018-05-05,33978,1.85
2018-05-07,93357,-1.0183333333333333
2018-05-08,59346,-1.8049999999999997
2018-05-09,67764,2.1635714285714283
2018-05-10,42320,2.216666666666667
2018-05-11,42295,1.0333333333333332
2018-05-12,25365,0.24166666666666659
2018-05-13,33806,1.75
2018-05-14,59122,0.135
2018-05-15,75942,2.408333333333333
2018-05-16,84285,4.295238095238096
2018-05-17,92598,3.3371428571428576
2018-05-18,92477,-1.3333333333333335
2018-05-19,41995,1.119047619047619
2018-05-20,75528,-2.423333333333334
