"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"54","-2.22865169097768","-2.20514404228918","-0.326609861267821",NA,"-1.58680186484489","2017-03-21"
"55","-2.18863764528063","-2.15549816819469","-0.218482672247185",NA,"-1.52087282857417","2017-03-22"
"56","-2.10382030233268","-2.04984091204691","-0.142366999746059",NA,"-1.43200940470855","2017-03-23"
"57","-2.08058325063144","-2.06002013384054","-0.136073511885462",NA,"-1.42555896545248","2017-03-24"
"58","-2.08720017388833","-2.05807965230851","0.00509689611692135",NA,"-1.38006097669331","2017-03-27"
"59","-2.07563214296386","-2.07167774148164","-0.0626872538072889",NA,"-1.4033323794176","2017-03-28"
"60","-2.09383483690708","-1.98917679283744","-0.0148394484266869",NA,"-1.3659503593904","2017-03-29"
"61","-2.12896167492124","-2.02086581525532","0.197443939866392",NA,"-1.31746118343672","2017-03-30"
"62","-2.0855442836802","-2.07021915856821","-0.0209889805075077",NA,"-1.3922508075853","2017-03-31"
"63","-2.01215323667939","-2.05759494723971","0.0961385694172487",NA,"-1.32453653816728","2017-04-03"
"64","-2.0905152819845","-2.08531153420513","-0.036393582953284",NA,"-1.40407346638097","2017-04-04"
"65","-2.04287550556555","-2.0892130971665","-0.205719652039258",NA,"-1.44593608492377","2017-04-05"
"66","-2.07893178055098","-2.06002013384054","0.0538492039315085",NA,"-1.36170090348667","2017-04-06"
"67","-1.98498449560513","-2.01412791748227","0.109659373491507",NA,"-1.29648434653196","2017-04-07"
"68","-1.78653367096287","-1.88537924203964","0.481738352489299",NA,"-1.06339152017107","2017-04-10"
"69","-1.80863647481268","-1.94484698109466","0.463537539823411",NA,"-1.09664863869464","2017-04-11"
"70","-1.94556461427305","-1.93583652043896","0.531811679159617",NA,"-1.11652981851747","2017-04-12"
"71","-2.07893178055098","-1.95577557213387","0.575923316053968",NA,"-1.15292801221029","2017-04-13"
"72","-2.14247558057805","-1.8825639555042","0.606036501677466",NA,"-1.13966767813493","2017-04-17"
"73","-2.11887445515186","-1.90748265276566","0.378708110124946",NA,"-1.21588299926419","2017-04-18"
"74","-2.07563214296386","-1.92967998067236","0.441050522064175",NA,"-1.18808720052401","2017-04-19"
"75","-2.09882253323511","-1.82657817686888","0.559425250586578",NA,"-1.12199181983914","2017-04-20"
"76","-2.08223582353005","-1.81962169635487","0.595106268166716",NA,"-1.1022504172394","2017-04-21"
"77","-2.0838895007207","-1.73913861613929","0.612856048908346",NA,"-1.07005735598388","2017-04-24"
"78","-2.04124900020058","-1.71091836494492","0.573177055565846",NA,"-1.05966343652655","2017-04-25"
"79","-2.07728141181778","-1.73412071593409","0.471946183297543",NA,"-1.11315198148478","2017-04-26"
"80","-2.06904603708394","-1.71318869772787","0.603305975043019",NA,"-1.05964291992293","2017-04-27"
"81","-2.03151235358","-1.71001069767424","0.548397297964707",NA,"-1.06437525109651","2017-04-28"
"82","-1.86401506914606","-1.65672663334342","0.74476365753659",NA,"-0.925326014984297","2017-05-01"
"83","-1.88072087426212","-1.593759006373","0.759364384835608",NA,"-0.905038498599836","2017-05-02"
