"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined","Date"
"233","-0.569174388771741","0.303274026852389","-1.68525096906197",NA,"-0.650383776993773","2017-12-04"
"234","-0.507170002886955","0.284072895061716","-1.89212781797307",NA,"-0.705074975266103","2017-12-05"
"235","-0.50804501624334","0.396721484930119","-1.98079560909658",NA,"-0.697373046803267","2017-12-06"
"236","-0.51242437920194","0.452301046343908","-1.90092781703604",NA,"-0.653683716631357","2017-12-07"
"237","-0.380976814849283","0.546104055779713","-1.76187617552932",NA,"-0.532249644866297","2017-12-08"
"238","-0.199124123423582","0.595162062254508","-1.69159388837231",NA,"-0.431851983180462","2017-12-11"
"239","-0.320214021521911","0.457406454776608","-1.69582669719113",NA,"-0.519544754645478","2017-12-12"
"240","-0.210737133477287","0.512052831725284","-1.69159388837231",NA,"-0.463426063374772","2017-12-13"
"241","-0.22708736996744","0.369930002218787","-1.66626855598357",NA,"-0.507808641244073","2017-12-14"
"242","-0.189103331135596","0.424584919307094","-1.62641812541662",NA,"-0.463645512415039","2017-12-15"
"243","-0.181422758843908","0.419144764135183","-1.56823821340578",NA,"-0.443505402704836","2017-12-18"
"244","-0.159282442207918","0.35556467758624","-1.46592472591931",NA,"-0.423214163513664","2017-12-19"
"245","-0.213843084301496","0.397024964285426","-1.43360194471602",NA,"-0.416806688244029","2017-12-20"
"246","-0.226306329145518","0.477778993302289","-1.54555758446216",NA,"-0.431361640101797","2017-12-21"
"247","-0.315352160196317","0.506702734069518","-1.55585495082688",NA,"-0.454834792317894","2017-12-22"
"248","-0.220066860794634","0.387603358832167","-1.59517015951163",NA,"-0.475877887158034","2017-12-26"
"249","-0.138091756025723","0.40703600173626","-1.5147860838028",NA,"-0.41528061269742","2017-12-27"
"250","-0.179122951955613","0.386690712939875","-1.61806692219189",NA,"-0.470166387069211","2017-12-28"
"251","-0.235695205986373","0.390644192592877","-1.75330698715847",NA,"-0.532786000183989","2017-12-29"
"252","-0.0763228274887762","0.721119130060006","-1.46592472591931",NA,"-0.273709474449361","2018-01-02"
"253","-0.0246808563967923","0.731100525139282","-1.45782573881651",NA,"-0.250468690024674","2018-01-03"
"254","0.0280205176568009","0.779594758646491","-1.26515014956514",NA,"-0.152511624420617","2018-01-04"
"255","0.092013533744466","0.918594725605891","-1.08118887190848",NA,"-0.0235268708527061","2018-01-05"
"256","0.153054105561724","0.908413786489201","-1.06051614238027",NA,"0.000317249890219445","2018-01-08"
"257","0.0103412900679257","0.921343142256092","-1.20118287303138",NA,"-0.0898328135691207","2018-01-09"
"258","0.0406718089307481","0.89351909408258","-1.28077580110185",NA,"-0.115528299362839","2018-01-10"
"259","0.0761697102374445","0.864713913162669","-1.26515014956514",NA,"-0.10808884205501","2018-01-11"
"260","0.149031180098128","0.837982927257795","-1.34374815626468",NA,"-0.118911349636253","2018-01-12"
"261","0.0671693616592841","0.685315967579292","-1.61598156898612",NA,"-0.287832079915847","2018-01-16"
"262","0.153054105561724","0.726254932581327","-1.05864096055381",NA,"-0.059777307470254","2018-01-17"
"263","0.140965858778094","0.7424842468367","-1.16087886275559",NA,"-0.0924762523802648","2018-01-18"
"264","0.127464787478853","0.732524949697479","-0.938164105316565",NA,"-0.0260581227134111","2018-01-19"
"265","0.103659470240051","0.731670421171135","-0.918046871216281",NA,"-0.0275723266016983","2018-01-22"
"266","0.144329565103762","0.961849608882433","-0.856350245316144",NA,"0.0832763095566834","2018-01-23"
"267","0.153723879658227","1.04971663800527","-0.865377591315056",NA,"0.112687642116148","2018-01-24"
"268","0.245111048079416","1.1242542878756","-0.72980715000405",NA,"0.213186061983654","2018-01-25"
"269","0.328254808104324","1.30328036480086","-0.635567799584676",NA,"0.33198912444017","2018-01-26"
"270","0.301901092105524","1.24651998152264","-0.400504770536939",NA,"0.382638767697076","2018-01-29"
"271","0.234761677253364","1.15929183812604","-0.512493291721409",NA,"0.293853407885997","2018-01-30"
"272","0.28480992568706","1.27946948024412","-0.4270317010152",NA,"0.379082568305326","2018-01-31"
