"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted"
"221",34.130001,181.479996,30.123667,NA
"222",35.799999,185.429993,31.669731,NA
"223",35.5,185.130005,30.744061,NA
"224",36.16,188,32.43784,NA
"225",35.540001,190.899994,31.817446,NA
"226",29.51,189.839996,31.620495,NA
"227",30.629999,191.190002,31.650036,NA
"228",29.52,188.029999,30.42894,NA
"229",29,186.690002,24.697664,NA
"230",28,179.910004,25.121109,NA
"231",28.35,177.080002,23.634129,NA
"232",27.440001,174.610001,22.21608,NA
"233",27.58,169.580002,24.421932,NA
"234",28.280001,168.960007,23.476568,NA
"235",28.27,172.630005,23.082666,NA
"236",28.219999,174.470001,23.437176,NA
"237",29.76,177.619995,24.067421,NA
"238",32.029999,179.289993,24.392389,NA
"239",30.5,174.639999,24.372694,NA
"240",31.879999,176.470001,24.392389,NA
"241",31.67,171.75,24.510559,NA
"242",32.16,173.550003,24.697664,NA
"243",32.259998,173.369995,24.973396,NA
"244",32.549999,171.279999,25.465775,NA
"245",31.84,172.639999,25.623335,NA
"246",31.68,175.320007,25.081718,NA
"247",30.559999,176.289993,25.03248,NA
"248",31.76,172.330002,24.845377,NA
"249",32.830002,172.970001,25.229433,NA
"250",32.290001,172.300003,24.737055,NA
"251",31.559999,172.429993,24.10681,NA
"252",33.66,183.649994,25.465775,NA
"253",34.369999,184,25.505163,NA
"254",35.110001,185.710007,26.460377,NA
"255",36.029999,190.699997,27.405741,NA
"256",36.93,190.330002,27.514065,NA
"257",34.860001,190.800003,26.785345,NA
"258",35.290001,189.789993,26.381596,NA
"259",35.799999,188.75,26.460377,NA
"260",36.869999,187.789993,26.066473,NA
"261",35.669998,182.399994,24.746901,NA
"262",36.93,183.830002,27.523912,NA
"263",36.75,184.399994,26.992144,NA
"264",36.549999,184.050003,28.164003,NA
"265",36.200001,184.020004,28.272326,NA
"266",36.799999,192.279999,28.607141,NA
"267",36.939999,195.529999,28.557905,NA
"268",38.330002,198.330002,29.306318,NA
"269",39.639999,205.220001,29.838085,NA
"270",39.220001,203.009995,31.206898,NA
"271",38.169998,199.660004,30.547112,NA
"272",38.950001,204.289993,31.049337,NA
"273",38.310001,192.220001,30.537264,NA
"274",35.27,187.309998,29.375252,NA
"275",34.790001,180.529999,28.075375,NA
"276",34.470001,185.169998,27.65193,NA
"277",33.759998,180.300003,27.376198,NA
"278",32.43,173.699997,25.977844,NA
"279",34.150002,176.669998,27.228485,NA
"280",34.59,177.440002,27.888271,NA
"281",34.490002,179.25,27.85873,NA
"282",37.18,186.759995,30.084274,NA
"283",37.610001,187.449997,30.369854,NA
"284",35.459999,183.679993,30.576653,NA
"285",35.93,187.190002,31.866684,NA
"286",36.610001,188.820007,31.482628,NA
"287",35.650002,188.75,30.064581,NA
"288",36.549999,193.289993,35.205002,NA
"289",36.369999,194.190002,33.678635,NA
"290",35.41,188.259995,32.969608,NA
"291",35.16,186.139999,32.546162,NA
"292",33.75,181.990005,31.344763,NA
"293",35.68,179.759995,32.388603,NA
"294",36.77,181.600006,32.76281,NA
"295",48.209999,187.369995,33.452141,NA
"296",44.139999,189.050003,36.455643,NA
"297",47.779999,187.179993,35.195156,NA
"298",47.880001,190.550003,36.967716,NA
"299",47.98,192.740005,36.475338,NA
"300",46.459999,188.410004,36.25869,NA
"301",46.18,192.559998,36.701832,NA
"302",48.110001,199.059998,37.272987,NA
"303",48.59,200.279999,36.6329,NA
"304",48.02,194.529999,36.416252,NA
"305",51.299999,198.949997,38.169117,NA
"306",50.48,195.300003,39.212955,NA
"307",45.450001,184.649994,38.306984,NA
"308",44.77,181.199997,38.306984,NA
"309",48.080002,190.5,38.267593,NA
"310",44.790001,181.889999,35.470886,NA
"311",43.73,178.910004,35.067139,NA
"312",45.880001,183.539993,36.810154,NA
"313",44.549999,177.610001,36.101131,NA
"314",44.139999,174.669998,36.721527,NA
"315",44.689999,172.070007,36.583664,NA
"316",45.130001,172.570007,36.504879,NA
"317",46.279999,167.520004,35.845097,NA
"318",48.970001,169.869995,36.229149,NA
"319",48.150002,177.100006,36.386711,NA
"320",48,175.360001,36.829849,NA
"321",49.290001,175.919998,34.850491,NA
"322",46.040001,172.039993,34.141464,NA
"323",46.060001,174.699997,33.865734,NA
"324",48.779999,178.699997,34.880032,NA
"325",47.919998,182.679993,34.909576,NA
"326",47.75,181.389999,35.214848,NA
"327",46.98,179.110001,35.776165,NA
"328",45.52,175.570007,36.02235,NA
"329",44.880001,173.089996,34.525524,NA
"330",43.540001,170.220001,33.777107,NA
"331",43.689999,173.899994,35.175461,NA
"332",43.759998,177.160004,35.205002,NA
"333",45.990002,178.539993,34.367962,NA
"334",46.75,179.5,35.037598,NA
"335",46.529999,181.449997,34.889881,NA
"336",46.740002,182.449997,34.545219,NA
"337",46.25,188.889999,34.82095,NA
"338",48.57,195.350006,37.450245,NA
"339",49.5,196.309998,37.647198,NA
"340",48.939999,195.429993,36.987411,NA
"341",50.619999,195.960007,37.844147,NA
"342",49.779999,194.360001,37.154819,NA
"343",48.040001,198.639999,37.174515,NA
"344",45.18,196.610001,36.790459,NA
"345",45.060001,198.110001,36.731373,NA
"346",53.509998,196.020004,37.725979,NA
"347",54.849998,195,39.134178,NA
"348",52.73,197.639999,39.281891,NA
"349",53.119999,195.869995,39.006161,NA
"350",56.669998,196.800003,38.858444,NA
"351",58.5,197.369995,38.710735,NA
"352",58.049999,199.199997,38.35622,NA
"353",57.619999,198,44.176125,NA
"354",59.860001,197.979996,42.4725,NA
"355",61.310001,198.009995,45.219963,NA
"356",61.77,204.339996,48.843864,NA
"357",62.490002,208.949997,49.533192,NA
"358",63.25,208.369995,48.971882,NA
"359",62.849998,208.300003,49.326393,NA
"360",61.990002,203.619995,48.617371,NA
"361",62.040001,205.070007,51.217125,NA
"362",64.400002,205.699997,52.054169,NA
"363",66.330002,209.080002,52.172337,NA
"364",64.760002,206.619995,52.418526,NA
"365",64.379997,210.860001,53.038921,NA
"366",62.830002,208,52.782883,NA
"367",63.060001,208.570007,52.320053,NA
"368",60.959999,204.429993,50.31115,NA
"369",64.230003,206.229996,51.118649,NA
"370",61.950001,202.210007,50.104351,NA
"371",60.82,202.009995,50.005875,NA
"372",54.759998,191.25,47.435661,NA
"373",56.369999,191.419998,44.648808,NA
"374",52.099998,185.020004,42.206615,NA
"375",54.549999,188.380005,43.742832,NA
"376",54.700001,185.529999,42.836857,NA
"377",55.75,186.360001,44.038261,NA
"378",55.869999,184.75,43.398167,NA
"379",55.099998,186.880005,43.526188,NA
"380",55.439999,192.270004,45.732037,NA
"381",57.810001,192.75,45.938839,NA
"382",57.889999,192.550003,44.510941,NA
"383",57.610001,187.419998,43.329235,NA
"384",61.16,190.169998,44.688198,NA
"385",60.68,190.039993,43.289845,NA
"386",62.119999,190.350006,43.708363,NA
"387",62.029999,192.660004,44.74728,NA
"388",62.18,190.789993,44.924538,NA
"389",61.790001,187.339996,43.900394,NA
"390",61.939999,187.25,44.776825,NA
"391",63.59,187.039993,45.288898,NA
"392",61.009998,189,41.655151,NA
"393",63.57,197.979996,42.511887,NA
"394",64.220001,194.179993,42.46265,26.700001
"395",61.950001,189.419998,41.241554,24.6
"396",57.709999,184.820007,39.400059,22.5
"397",57.849998,187.229996,40.394665,22.59
"398",57.73,185.270004,40.41436,20.309999
"399",57.060001,182.600006,39.449299,19.66
"400",54.810001,180.839996,39.784119,19.07
"401",56.150002,178.619995,39.311432,20.16
"402",58.040001,179.919998,40.266644,20.889999
"403",56.869999,177.520004,40.680244,20.27
"404",56.529999,177.190002,41.212009,20
"405",55.310001,180.009995,41.635456,19.51
"406",52.720001,177.679993,39.892437,19.440001
"407",49.639999,172.529999,36.386711,19
"408",48.16,169.830002,35.628448,17.700001
"409",49.68,171.990005,36.977562,19.040001
"410",50.700001,172.779999,37.568417,19
"411",51.68,176.289993,38.700886,18.950001
"412",54.709999,177.919998,39.872746,18.75
"413",55.41,177.850006,43.289845,18.4
"414",54.040001,172.229996,43.319389,18.309999
"415",53.66,174.229996,43.171673,17.219999
"416",56.900002,180.649994,46.194874,19.17
"417",57.029999,178.190002,46.933437,19.540001
"418",56.959999,178.5,46.834965,21.15
"419",53.860001,174.600006,44.146584,17.99
"420",53.389999,175.009995,45.584324,19.35
"421",52.310001,170.440002,46.519844,20.75
"422",50.290001,164.229996,44.540482,18.799999
"423",49.150002,159.869995,43.329235,19.110001
"424",49.27,162.369995,44.461704,19.57
"425",46.34,156.360001,42.147526,19.74
"426",45.330002,157.460007,41.950577,23.57
"427",45.709999,161.460007,43.260303,23.040001
"428",47.849998,165.529999,46.155483,29.959999
"429",45.970001,164.740005,46.647858,26.34
"430",44.59,158.889999,45.30859,24.360001
"431",44.41,156.649994,47.514446,22.639999
"432",46.5,162.630005,47.002373,23
"433",48.220001,165.880005,45.800968,24.65
"434",48.59,164.630005,45.732037,25.6
"435",46.709999,163.160004,44.629112,26.49
"436",47.330002,164.25,45.476002,26.940001
"437",47.990002,165.399994,45.249508,26.059999
"438",47.540001,166.320007,43.545883,26.33
"439",48.580002,164.759995,43.132282,26.290001
"440",47.009998,162,43.368626,27.690001
"441",44.880001,160.229996,41.162773,25.66
