"","BZUN.Adjusted","BABA.Adjusted","MOMO.Adjusted","PDD.Adjusted","combined"
"76",-0.14054281643129,-0.0650953052540907,0.0846334418433151,NA,-0.0403348932806884
"77",-0.140605793892535,-0.0628005589168037,0.0877771536546788,NA,-0.0385430663848865
"78",-0.138968379900167,-0.0619875604490262,0.0807641692925297,NA,-0.0400639236855546
"79",-0.140353884047555,-0.0626563177184599,0.0631109371248376,NA,-0.0466330882137258
"80",-0.140038996741331,-0.0620531285639424,0.0860843914232493,NA,-0.0386692446273412
"81",-0.138590515132698,-0.0619613387104509,0.0764113696667014,NA,-0.0413801613921492
"82",-0.131851926779494,-0.0604140240373088,0.111476144135525,NA,-0.026929935560426
"83",-0.132544678853188,-0.0585651193764006,0.114136206086911,NA,-0.0256578640475593
"84",-0.135378664609208,-0.0605582652356526,0.0841497674263501,NA,-0.037262387472837
"85",-0.135882484299168,-0.0614892752954968,0.092855514019929,NA,-0.0348387485249118
"86",-0.123538901895169,-0.0612532442436616,0.103979509913398,NA,-0.0269375454084773
"87",-0.123664863115404,-0.0601779916741899,0.0908000205327626,NA,-0.0310142780856106
"88",-0.113273569414505,-0.05606056241457,0.0909209636939909,NA,-0.0261377227116946
"89",-0.111132348327671,-0.0560867841531453,0.082215241657399,NA,-0.0283346302744723
"90",-0.102504429839374,-0.0558507517900264,0.0868098293777358,NA,-0.0238484507505549
"91",-0.108928130886353,-0.0556147312284602,0.128645824671188,NA,-0.0119656791478752
"92",-0.109683854123546,-0.0542247627221732,0.127920386716701,NA,-0.0119960767096726
"93",-0.0912944354400369,-0.0507892061907673,0.217637840932915,NA,0.0251847331007035
"94",-0.108739198502618,-0.0551164368959455,0.13203132457706,NA,-0.0106081036071681
"95",-0.0969624195475695,-0.0543952361493612,0.159357701286235,NA,0.00266668186310148
"96",-0.0981589787157303,-0.0518382278426783,0.211834042613178,NA,0.0206122786849232
"97",-0.10124487431673,-0.0498319652133625,0.193697136028521,NA,0.0142067654994761
"98",-0.103889927689016,-0.0522185014041409,0.151135629109621,NA,-0.00165759999451175
"99",-0.101622751679692,-0.052375858061265,0.0923718396029638,NA,-0.0205422567126643
"100",-0.1027563459821,-0.051300606803077,0.0868098293777358,NA,-0.0224157078024803
"101",-0.101748694006689,-0.0508285433881229,0.104463184330363,NA,-0.0160380176881497
"102",-0.102126571369651,-0.0509334382101257,0.0573070651341398,NA,-0.0319176481485456
"103",-0.10533842189314,-0.0528348060174388,0.0778623192466354,NA,-0.0267703028879812
"104",-0.104897567068934,-0.0508547651266982,0.0609344268054817,NA,-0.0316059684633835
"105",-0.103197188210814,-0.0506449649924236,0.078587757201122,NA,-0.0250847986673719
"106",-0.105464364220138,-0.0490189654343013,0.127194850534266,NA,-0.00909615970672426
"107",-0.1027563459821,-0.0500024281502815,0.14242990707303,NA,-0.00344295568645056
"108",-0.0912944354400369,-0.048664924101683,0.132998648854003,NA,-0.00232023689590562
"109",-0.0872009067568649,-0.0267664915597093,0.125018438442859,NA,0.00368368004209487
"110",-0.0996074729198551,-0.0305692061937975,0.0633527252193459,NA,-0.0222746512981022
"111",-0.103134204451823,-0.0310412682974679,0.0669801114476748,NA,-0.0223984537672054
"112",-0.107164761971496,-0.0342932464331744,0.078104107341144,NA,-0.0211179670211755
"113",-0.107353694355231,-0.034201467069952,0.0415883587353987,NA,-0.0333222675632614
"114",-0.109935770266271,-0.0362864027826953,0.0362681366046791,NA,-0.0366513454814292
"115",-0.105716280362864,-0.0365617815221552,0.0500522926774821,NA,-0.0307419230691789
"116",-0.100992970769497,-0.0305298689964419,0.0696402470700217,NA,-0.0206275308986389
"117",-0.104330782513222,-0.0319591628985319,0.0742348593473455,NA,-0.0206850286881361
"118",-0.0989776983074061,-0.0255207760533186,0.093822813739885,NA,-0.0102252202069466
"119",-0.0965845421846079,-0.0268582709229318,0.0993848239651131,NA,-0.0080193297141422
"120",-0.089594056581917,-0.0258879328447173,0.109541520138626,NA,-0.00198015642933608
"121",-0.0919871938114768,-0.0262550909473996,0.110267056321061,NA,-0.00265840947927184
"122",-0.0950730894124766,-0.027828627359117,0.054163328765789,NA,-0.0229127960019349
"123",-0.0938135464853248,-0.0246553236181216,0.0759276952497362,NA,-0.0141803916179034
"124",-0.0968364583273336,-0.0287727528777415,0.0544051168602975,NA,-0.0237346981149259
"125",-0.0951360668737215,-0.0286547425969584,0.0517450549089118,NA,-0.0240152515205894
"126",-0.0928688719711592,-0.028536712646921,0.0512614050489338,NA,-0.0233813931897155
"127",-0.080084459933938,-0.0234489453090866,0.0788296435235786,NA,-0.00823458723981533
"128",-0.0786989431910581,-0.0269500699554086,0.0964829739192189,NA,-0.00305534640908263
"129",-0.0765577095087318,-0.0266484799676425,0.107606896141727,NA,0.00146690222178418
"130",-0.0666702480932835,-0.024838902013821,0.143155443255464,NA,0.0172154310494533
