Date,Close,Open,Day High,Day Low,delta,range
2017-06-27,59.4049,58.9293,59.4963,58.635,0.4756,0.8613
2017-06-28,59.2517,59.3957,59.8672,59.17,-0.14399999999999835,0.6971999999999952
2017-06-29,59.455,59.2516,59.5894,58.9119,0.20339999999999492,0.6774999999999949
2017-06-30,58.9251,59.4551,59.597,58.8713,-0.5300000000000011,0.7257000000000033
2017-07-03,59.2709,58.9156,59.4766,58.7993,0.3552999999999997,0.6772999999999954
2017-07-04,59.3935,59.271,59.518,59.135,0.12250000000000227,0.38300000000000267
2017-07-05,60.2135,59.3936,60.2477,59.266999999999996,0.8199000000000041,0.9807000000000059
2017-07-06,60.0808,60.2134,60.415,59.765,-0.1325999999999965,0.6499999999999986
2017-07-07,60.385,60.0807,60.623999999999995,60.0807,0.3042999999999978,0.543299999999995
2017-07-10,60.295,60.3864,60.5381,60.1766,-0.09140000000000015,0.3614999999999995
2017-07-11,60.795,60.2951,60.9934,60.285,0.4999000000000038,0.7084000000000046
2017-07-12,59.935,60.7951,60.7982,59.8999,-0.8600999999999956,0.898299999999999
2017-07-13,59.7834,59.9349,60.285,59.6642,-0.15149999999999864,0.6207999999999956
2017-07-14,59.055,59.7833,59.9633,59.041000000000004,-0.7282999999999973,0.9222999999999928
2017-07-17,59.3226,59.0966,59.4,58.966,0.2259999999999991,0.4339999999999975
2017-07-18,59.115,59.3225,59.461999999999996,58.8995,-0.20749999999999602,0.5624999999999929
2017-07-19,58.9821,59.1149,59.3895,58.8557,-0.13279999999999603,0.5337999999999994
2017-07-20,58.925,58.9822,59.2309,58.7933,-0.057200000000001694,0.4375999999999962
2017-07-21,59.2625,58.9251,59.3925,58.777,0.33740000000000236,0.6154999999999973
2017-07-24,60.0074,59.2626,60.2018,59.2625,0.7447999999999979,0.9392999999999958
2017-07-25,59.9875,60.0075,60.1901,59.706,-0.020000000000003126,0.484099999999998
2017-07-26,59.5759,59.9874,60.0585,59.3735,-0.41150000000000375,0.6850000000000023
2017-07-27,59.5213,59.5758,59.652,59.3267,-0.054500000000004434,0.3252999999999986
2017-07-28,59.5142,59.5212,59.645,59.3688,-0.006999999999997897,0.2762000000000029
2017-07-31,59.75,59.5143,60.3388,59.5141,0.23570000000000135,0.8247
2017-08-01,60.2094,59.7649,60.3849,59.6321,0.444500000000005,0.7528000000000006
2017-08-02,60.5439,60.2095,60.8363,60.2093,0.33440000000000225,0.6270000000000024
2017-08-03,60.3305,60.5438,60.8463,60.0946,-0.21329999999999671,0.7516999999999996
2017-08-04,59.9705,60.3304,60.4782,59.8444,-0.3598999999999961,0.6338000000000008
2017-08-07,59.9903,59.9704,60.326,59.8756,0.019899999999999807,0.4504000000000019
2017-08-08,59.8242,59.9902,60.132,59.7026,-0.16600000000000392,0.4294000000000011
2017-08-09,60.1056,59.8241,60.22,59.8241,0.2815000000000012,0.3958999999999975
2017-08-10,60.0243,60.1055,60.1545,59.718999999999994,-0.0812000000000026,0.43550000000000466
2017-08-11,59.8262,60.0244,60.3086,59.7997,-0.19819999999999993,0.508899999999997
2017-08-14,59.8461,59.8261,59.946000000000005,59.5641,0.020000000000003126,0.3819000000000017
2017-08-15,59.786,59.8462,60.115,59.6925,-0.06020000000000181,0.42249999999999943
2017-08-16,59.4462,59.7861,59.82,59.28,-0.3399000000000001,0.5399999999999991
2017-08-17,59.0748,59.4463,59.48,58.9941,-0.3714999999999975,0.4858999999999938
2017-08-18,58.9405,59.0747,59.5075,58.9405,-0.13419999999999987,0.5670000000000002
2017-08-21,59.1076,58.93,59.211999999999996,58.9257,0.1775999999999982,0.2862999999999971
2017-08-22,59.012,59.1075,59.1475,58.9285,-0.09550000000000125,0.2190000000000012
2017-08-23,59.0076,59.0119,59.247,58.9988,-0.004300000000000637,0.2481999999999971
2017-08-24,59.1653,59.0077,59.2748,59.0075,0.15760000000000218,0.26729999999999876
2017-08-25,58.5845,59.1652,59.2213,58.5519,-0.5807000000000002,0.669399999999996
2017-08-28,58.465,58.598,58.748000000000005,58.3373,-0.13299999999999557,0.4107000000000056
2017-08-29,58.7598,58.4651,58.885,58.4252,0.29469999999999885,0.4598000000000013
2017-08-30,58.495,58.7597,58.91,58.3287,-0.2647000000000048,0.5812999999999988
2017-08-31,58.0117,58.4951,58.661,57.9925,-0.48340000000000316,0.6685000000000016
2017-09-01,57.479,58.0116,58.193000000000005,57.37,-0.5326000000000022,0.8230000000000075
2017-09-04,57.7731,57.5005,57.9549,57.5004,0.27259999999999707,0.454500000000003
2017-09-05,57.5785,57.773,58.11,57.23,-0.194500000000005,0.8800000000000026
2017-09-06,57.4199,57.5784,57.601000000000006,57.258,-0.15850000000000364,0.3430000000000035
2017-09-07,56.9665,57.4225,57.475,56.7866,-0.45599999999999596,0.6884000000000015
2017-09-08,57.3254,56.9664,57.482,56.7493,0.35900000000000176,0.7327000000000012
2017-09-11,57.2351,57.3564,57.4025,57.0428,-0.12129999999999797,0.3597000000000037
2017-09-12,57.6562,57.2354,57.7648,57.068000000000005,0.42079999999999984,0.6967999999999961
2017-09-13,57.9682,57.6553,57.9839,57.464,0.3129000000000062,0.5198999999999998
2017-09-14,57.5141,57.9807,57.983999999999995,57.3897,-0.4665999999999997,0.5942999999999969
2017-09-15,57.6,57.5122,57.771,57.3875,0.08780000000000143,0.38349999999999795
2017-09-18,58.0937,57.7075,58.1585,57.332,0.3861999999999952,0.8264999999999958
2017-09-19,58.12,58.0936,58.3875,57.9176,0.026399999999995316,0.46990000000000265
2017-09-20,58.2029,58.1201,58.294,57.7158,0.08279999999999887,0.5781999999999954
2017-09-21,57.91,58.203,58.3902,57.7609,-0.29300000000000637,0.6293000000000006
2017-09-22,57.5335,57.9102,57.9462,57.24100000000001,-0.3767000000000067,0.7051999999999907
2017-09-25,57.5812,57.6086,57.7505,57.2425,-0.02740000000000009,0.5080000000000027
2017-09-26,57.8743,57.5831,58.1513,57.211999999999996,0.29119999999999635,0.9393000000000029
2017-09-27,58.1999,57.8743,58.3833,57.738,0.32560000000000144,0.6452999999999989
2017-09-28,57.9468,58.1998,58.5851,57.794,-0.2530000000000001,0.7911000000000001
