Date,Price
14-Jun-18,66.91
15-Jun-18,65.01
18-Jun-18,65.91
19-Jun-18,65.09
20-Jun-18,65.92
21-Jun-18,65.68
22-Jun-18,69.02
25-Jun-18,69.91
26-Jun-18,75.23
27-Jun-18,77.41
28-Jun-18,73.45
29-Jun-18,74.13
2-Jul-18,73.89
3-Jul-18,74.19
5-Jul-18,73.05
6-Jul-18,73.78
9-Jul-18,73.93
10-Jul-18,74.11
11-Jul-18,70.47
12-Jul-18,70.28
13-Jul-18,71.03
16-Jul-18,68.22
17-Jul-18,68.03
18-Jul-18,68.78
19-Jul-18,69.42
20-Jul-18,70.31
23-Jul-18,67.9
24-Jul-18,70.77
25-Jul-18,71.13
26-Jul-18,71.59
27-Jul-18,68.66
30-Jul-18,71.19
31-Jul-18,69.88
1-Aug-18,68.8
2-Aug-18,68.95
3-Aug-18,68.49
6-Aug-18,69.01
7-Aug-18,69.17
8-Aug-18,66.92
9-Aug-18,66.81
10-Aug-18,67.61
13-Aug-18,67.25
14-Aug-18,67.04
15-Aug-18,65.07
16-Aug-18,65.44
17-Aug-18,65.93
20-Aug-18,66.5
21-Aug-18,67.32
22-Aug-18,67.85
23-Aug-18,69.13
24-Aug-18,69.71
27-Aug-18,69.97
28-Aug-18,68.54
29-Aug-18,69.68
30-Aug-18,70.25
31-Aug-18,69.84
4-Sep-18,69.82
5-Sep-18,68.69
6-Sep-18,67.81
7-Sep-18,67.73
10-Sep-18,67.55
11-Sep-18,69.29
12-Sep-18,70.37
13-Sep-18,68.6
14-Sep-18,68.98
17-Sep-18,68.86
18-Sep-18,69.87
19-Sep-18,71.08
20-Sep-18,70.77
21-Sep-18,70.8
24-Sep-18,73.23
25-Sep-18,73.4
26-Sep-18,72.22
27-Sep-18,72.18
28-Sep-18,73.16
1-Oct-18,75.37
2-Oct-18,75.16
3-Oct-18,76.4
4-Oct-18,74.44
5-Oct-18,74.26
8-Oct-18,74.27
9-Oct-18,74.95
10-Oct-18,73.18
11-Oct-18,70.97
12-Oct-18,71.41
15-Oct-18,71.84
16-Oct-18,71.93
17-Oct-18,69.63
18-Oct-18,68.63
19-Oct-18,69.16
22-Oct-18,69.25
23-Oct-18,66.49
24-Oct-18,66.56
25-Oct-18,67.25
26-Oct-18,67.58
29-Oct-18,67
30-Oct-18,66.18
31-Oct-18,65.31
1-Nov-18,63.67
2-Nov-18,63.12
5-Nov-18,63.12
6-Nov-18,62.16
7-Nov-18,61.69
8-Nov-18,60.71
9-Nov-18,60.19
12-Nov-18,59.85
13-Nov-18,55.63
14-Nov-18,56.16
15-Nov-18,56.45
16-Nov-18,56.49
19-Nov-18,57.16
20-Nov-18,53.39
21-Nov-18,54.41
26-Nov-18,51.46
27-Nov-18,51.31
28-Nov-18,50.06
29-Nov-18,51.46
30-Nov-18,50.78
3-Dec-18,52.98
4-Dec-18,53.21
5-Dec-18,52.64
6-Dec-18,51.54
7-Dec-18,52.76
10-Dec-18,51.07
11-Dec-18,51.65
12-Dec-18,51.04
13-Dec-18,52.69
14-Dec-18,51.26
17-Dec-18,49.8
18-Dec-18,46.12
19-Dec-18,47.96
20-Dec-18,45.64
21-Dec-18,45.38
26-Dec-18,46.04
27-Dec-18,44.48
28-Dec-18,45.15
2-Jan-19,46.31
3-Jan-19,46.92
4-Jan-19,47.76
7-Jan-19,48.27
8-Jan-19,49.58
9-Jan-19,52.19
10-Jan-19,52.42
11-Jan-19,51.44
14-Jan-19,50.31
15-Jan-19,51.8
16-Jan-19,52.08
17-Jan-19,51.83
18-Jan-19,53.6
22-Jan-19,52.59
23-Jan-19,52.44
24-Jan-19,52.94
25-Jan-19,53.53
28-Jan-19,51.79
29-Jan-19,53.07
30-Jan-19,54.18
31-Jan-19,53.84
1-Feb-19,55.29
4-Feb-19,54.57
5-Feb-19,53.69
6-Feb-19,53.94
7-Feb-19,52.68
8-Feb-19,52.75
11-Feb-19,52.43
12-Feb-19,53.14
13-Feb-19,53.84
14-Feb-19,54.4
15-Feb-19,55.58
19-Feb-19,56.12
20-Feb-19,56.9
